"","id","occup"
"1",1,""
"2",2,"Prawnik"
"3",3,"nauczyciel, tłumacz"
"4",4,""
"5",5,""
"6",6,"specjalista od marketingu internetowego"
"7",7,"PR assistant"
"8",8,"Copywriter"
"9",9,"customer service"
"10",10,""
"11",11,"lektorka w szkole językowej"
"12",12,"nauczyciel języka angielskiego"
"13",13,"nauczyciel"
"14",14,"koordynatorka projektów kulturalnych"
"15",15,"nauczyciel"
"16",16,"prowadzę firmę "
"17",17,"nauczyciel"
"18",18,"Architekt Wnętrz"
"19",19,"trener"
"20",20,""
"21",21,"Barista/Barman"
"22",22,"Pracownik Fabryki"
"23",23,"lekarz"
"24",24,"junior account manager"
"25",25,"specjalista ds obslugi klienta"
"26",26,"lektor języka angielskiego"
"27",27,"Project manager"
"28",28,"marketing"
"29",29,""
"30",30,"media planner buyer"
"31",31,"lektor"
"32",32,"media"
"33",33,"Konsultant BI"
"34",34,"koordynator imprez, kierownik biura"
"35",35,""
"36",36,"nauczyciel języka angielskiego"
"37",37,""
"38",38,"konsultant ds. podrozy"
"39",39,""
"40",40,"analiza badań marketingowych"
"41",41,"bankowiec"
"42",42,"niania"
"43",43,"Fotogrametra"
"44",44,"specjalista ds.operacji finansowych"
"45",45,"barmanka"
"46",46,"dorywcza praca fizyczno-techniczna"
"47",47,""
"48",48,"specjalista ds. komunikacji online"
"49",49,"badacz"
"50",50,"stażysta w firmie badawczej"
"51",51,"planista strategiczny"
"52",52,"account executive assistant"
"53",53,"specjalista ds. reklamy"
"54",54,"logopeda"
"55",55,""
"56",56,"dziennikarz"
"57",57,"trener personalny"
"58",58,"specjalista ds. turystyki"
"59",59,"specjalosta do spraw marketingu"
"60",60,""
"61",61,""
"62",62,"promocja"
"63",63,"ratownik - instruktor"
"64",64,""
"65",65,"Administrator Nieruchomości"
"66",66,""
"67",67,""
"68",68,"trycholog"
"69",69,""
"70",70,"terapeuta cień dla osób z autyzmem"
"71",71,"badacz ilościowy (badania marketingowe)"
"72",72,"badacz rynku"
"73",73,"freelancer, startup girl"
"74",74,"sekretarka"
"75",75,"cukiernik, wlasna dzialalnosc"
"76",76,"Terapeuta wspomagający"
"77",77,"asystentka koordynatora"
"78",78,""
"79",79,"Manager"
"80",80,"psycholog"
"81",81,"rekruter"
"82",82,"trener"
"83",83,""
"84",84,""
"85",85,""
"86",86,""
"87",87,""
"88",88,""
"89",89,"żaden konkretny"
"90",90,"pracownik ngo"
"91",91,""
"92",92,"badacz rynku"
"93",93,""
"94",94,"PM"
"95",95,"urzędnik"
"96",96,""
"97",97,"rzecznik patentowy"
"98",98,"projetkanta biżuterii, organizator eventów"
"99",99,""
"100",100,""
"101",101,""
"102",102,"Animator czasu wolnego"
"103",103,"rejestratorka medyczna"
"104",104,""
"105",105,"trener/ edukator"
"106",106,"pomocnik w fundacji prozwierzęcej"
"107",107,""
"108",108,""
"109",109,"freelancer"
"110",110,"tłumacz"
"111",111,"Naukowiec"
"112",112,"Specjalista"
"113",113,"Specjalista"
"114",114,"archeolog"
"115",115,"frontend developer"
"116",116,"archeolog"
"117",117,""
"118",118,""
"119",119,"recepcjonistka"
"120",120,"Specjalista ds marketingu"
"121",121,"Content Quality Assurance (praca przez internet, trochę coś jak 'administrator')"
"122",122,""
"123",123,"grafik"
"124",124,"Informatyk"
"125",125,"redaktor, copywriter"
"126",126,""
"127",127,"pedagog"
"128",128,""
"129",129,"Stażysta w obszarze HR"
"130",130,"analityk w korporacji"
"131",131,"media manager"
"132",132,"Customer and Shopper Marketing"
"133",133,"grafik komputerowy"
"134",134,"Redaktor"
"135",135,""
"136",136,"Helpdesk"
"137",137,"Redaktor"
"138",138,"branża reklamowa"
"139",139,"wsparcie działu sprzedaży"
"140",140,""
"141",141,""
"142",142,"Specjalista ds. wsoarcia sprzedazy"
"143",143,"strateg reklamowy"
"144",144,"Barman"
"145",145,""
"146",146,""
"147",147,""
"148",148,"psycholog"
"149",149,"profesjonalny barista"
"150",150,""
"151",151,""
"152",152,""
"153",153,""
"154",154,"praca biurowa"
"155",155,""
"156",156,"specjalista ds. compliance"
"157",157,""
"158",158,""
"159",159,"przedstawiciel handlowy"
"160",160,"Nauczyciel akademicki"
"161",161,""
"162",162,"Pracownik Ochrony"
"163",163,""
"164",164,""
"165",165,""
"166",166,"obsluga klienta"
"167",167,"Księgowa"
"168",168,""
"169",169,""
"170",170,""
"171",171,"asystentka księgowej"
"172",172,""
"173",173,"asystent naukowy"
"174",174,"Staż"
"175",175,"baristka"
"176",176,""
"177",177,"analityk"
"178",178,""
